x,y,z,phi1,PHI,phi2,phase,grain_id,kam,stored_energy,is_recrystallized
0.0,10.0,3.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.4080940621923475,0.0,0
0.0,10.0,4.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.617116118989257,0.0,0
0.0,10.0,5.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.6432731007315855,0.0,0
0.0,10.0,6.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.545947546218484,0.0,0
0.0,10.0,7.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.665265701283535,0.0,0
0.0,10.0,8.0,198.61351935264628,141.53048770266645,88.51820753733084,1,4,10.71934019141994,0.0,0
0.0,10.0,9.0,190.06937225195588,139.49126982687213,91.23302944146958,1,5,12.489971656029933,0.0,0
0.0,11.0,0.0,194.9319243918408,131.88035158067038,93.69981063791627,1,6,28.518195959449407,0.0,0
0.0,11.0,1.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,37.34621888438176,0.0,0
0.0,11.0,2.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,32.52570212362779,0.0,0
0.0,11.0,3.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,25.90991426284372,0.0,0
0.0,11.0,4.0,189.987631674754,145.07131813534562,92.91005713176777,1,7,27.593780119826164,0.0,0
0.0,11.0,5.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,26.096886140122628,0.0,0
0.0,11.0,6.0,190.06937225195588,139.49126982687213,91.23302944146958,1,5,26.84565726897989,0.0,0
0.0,11.0,7.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,37.24918252961817,0.0,0
0.0,11.0,8.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,39.68194558048592,0.0,0
0.0,11.0,9.0,343.9813913096846,85.5048051891059,169.3285049573811,1,8,50.21880812720722,0.0,0
0.0,12.0,0.0,340.20497433543835,91.47441956942811,164.89650490655495,1,9,30.73258360438449,0.0,0
